Date,Team1,Team2,Score,Team1_Position,Team1_Win_Percentage,Team2_Position,Team2_Win_Percentage,Team1_Player1_Rating,Team1_Player1_Kills_Per_Round,Team1_Player1_Deaths_Per_Round,Team1_Player1_Headshots,Team1_Player2_Rating,Team1_Player2_Kills_Per_Round,Team1_Player2_Deaths_Per_Round,Team1_Player2_Headshots,Team1_Player3_Rating,Team1_Player3_Kills_Per_Round,Team1_Player3_Deaths_Per_Round,Team1_Player3_Headshots,Team1_Player4_Rating,Team1_Player4_Kills_Per_Round,Team1_Player4_Deaths_Per_Round,Team1_Player4_Headshots,Team1_Player5_Rating,Team1_Player5_Kills_Per_Round,Team1_Player5_Deaths_Per_Round,Team1_Player5_Headshots,Team2_Player1_Rating,Team2_Player1_Kills_Per_Round,Team2_Player1_Deaths_Per_Round,Team2_Player1_Headshots,Team2_Player2_Rating,Team2_Player2_Kills_Per_Round,Team2_Player2_Deaths_Per_Round,Team2_Player2_Headshots,Team2_Player3_Rating,Team2_Player3_Kills_Per_Round,Team2_Player3_Deaths_Per_Round,Team2_Player3_Headshots,Team2_Player4_Rating,Team2_Player4_Kills_Per_Round,Team2_Player4_Deaths_Per_Round,Team2_Player4_Headshots,Team2_Player5_Rating,Team2_Player5_Kills_Per_Round,Team2_Player5_Deaths_Per_Round,Team2_Player5_Headshots
28/03/2024,spirit,faze,0,4,79.2,1,72.4,1.03,0.63,0.64,56.1,1.21,0.74,0.52,36.1,1.09,0.6,0.57,46.6,1.13,0.67,0.64,35.6,1.51,0.99,0.66,60.5,0.91,0.57,0.72,54.4,1.06,0.65,0.68,62.9,1.19,0.75,0.63,54.0,1.12,0.71,0.6,52.5,1.18,0.74,0.59,35.1
28/03/2024,spirit,natus_vincere,1,4,79.2,2,77.3,1.03,0.63,0.64,56.1,1.21,0.74,0.52,36.1,1.09,0.6,0.57,46.6,1.13,0.67,0.64,35.6,1.51,0.99,0.66,60.5,0.91,0.51,0.65,43.8,1.02,0.64,0.68,42.5,1.09,0.68,0.65,65.9,1.16,0.73,0.65,51.2,1.17,0.74,0.57,38.4
28/03/2024,spirit,imperial,1,4,79.2,18,72.0,1.03,0.63,0.64,56.1,1.21,0.74,0.52,36.1,1.09,0.6,0.57,46.6,1.13,0.67,0.64,35.6,1.51,0.99,0.66,60.5,1.16,0.67,0.53,33.3,1.22,0.78,0.67,45.1,1.03,0.61,0.64,48.6,1.14,0.73,0.61,52.2,1.11,0.69,0.66,53.5
28/03/2024,spirit,cloud9,1,4,79.2,7,63.0,1.03,0.63,0.64,56.1,1.21,0.74,0.52,36.1,1.09,0.6,0.57,46.6,1.13,0.67,0.64,35.6,1.51,0.99,0.66,60.5,1.13,0.71,0.65,47.7,1.15,0.72,0.67,49.7,1.08,0.65,0.65,35.8,1.09,0.65,0.67,48.0,1.12,0.68,0.57,45.9
28/03/2024,spirit,metizport,1,4,79.2,30,62.0,1.03,0.63,0.64,56.1,1.21,0.74,0.52,36.1,1.09,0.6,0.57,46.6,1.13,0.67,0.64,35.6,1.51,0.99,0.66,60.5,1.0,0.62,0.65,40.6,1.01,0.62,0.66,49.6,1.19,0.78,0.66,55.2,1.1,0.68,0.68,55.5,1.09,0.66,0.66,52.3
28/03/2024,spirit,big,1,4,79.2,38,40.9,1.03,0.63,0.64,56.1,1.21,0.74,0.52,36.1,1.09,0.6,0.57,46.6,1.13,0.67,0.64,35.6,1.51,0.99,0.66,60.5,1.04,0.65,0.68,53.2,0.98,0.63,0.64,31.4,1.16,0.74,0.67,51.8,1.03,0.66,0.69,56.9,1.1,0.65,0.56,52.2
28/03/2024,spirit,heroic,1,4,79.2,10,57.1,1.03,0.63,0.64,56.1,1.21,0.74,0.52,36.1,1.09,0.6,0.57,46.6,1.13,0.67,0.64,35.6,1.51,0.99,0.66,60.5,1.13,0.71,0.65,52.7,1.08,0.69,0.67,52.1,1.02,0.66,0.65,47.6,1.05,0.65,0.66,51.1,0.99,0.61,0.66,50.2
28/03/2024,spirit,mouz,0,4,79.2,5,76.2,1.03,0.63,0.64,56.1,1.21,0.74,0.52,36.1,1.09,0.6,0.57,46.6,1.13,0.67,0.64,35.6,1.51,0.99,0.66,60.5,1.12,0.67,0.67,54.9,0.9,0.56,0.7,57.5,1.1,0.71,0.61,31.3,1.17,0.76,0.61,52.1,1.09,0.68,0.68,47.9
28/03/2024,spirit,astralis,1,4,79.2,26,57.1,1.03,0.63,0.64,56.1,1.21,0.74,0.52,36.1,1.09,0.6,0.57,46.6,1.13,0.67,0.64,35.6,1.51,0.99,0.66,60.5,1.1,0.68,0.6,36.5,1.11,0.7,0.67,47.7,0.99,0.59,0.68,64.9,1.01,0.64,0.66,61.4,1.07,0.65,0.64,54.2
28/03/2024,spirit,ence,1,4,79.2,13,45.5,1.03,0.63,0.64,56.1,1.21,0.74,0.52,36.1,1.09,0.6,0.57,46.6,1.13,0.67,0.64,35.6,1.51,0.99,0.66,60.5,1.0,0.6,0.66,54.8,1.01,0.65,0.67,41.8,0.97,0.61,0.71,56.3,1.1,0.71,0.61,33.9,1.12,0.7,0.67,59.2
28/03/2024,spirit,faze,1,4,79.2,1,72.4,1.03,0.63,0.64,56.1,1.21,0.74,0.52,36.1,1.09,0.6,0.57,46.6,1.13,0.67,0.64,35.6,1.51,0.99,0.66,60.5,0.91,0.57,0.72,54.4,1.06,0.65,0.68,62.9,1.19,0.75,0.63,54.0,1.12,0.71,0.6,52.5,1.18,0.74,0.59,35.1
28/03/2024,spirit,falcons,1,4,79.2,11,42.9,1.03,0.63,0.64,56.1,1.21,0.74,0.52,36.1,1.09,0.6,0.57,46.6,1.13,0.67,0.64,35.6,1.51,0.99,0.66,60.5,0.82,0.5,0.7,52.6,1.14,0.76,0.68,54.3,1.11,0.68,0.66,53.5,1.04,0.68,0.68,52.2,1.13,0.71,0.6,33.3
