Date,Team1,Team1_Position,Team1_Win_Percentage,Team1_Rating,Team1_Kills_Per_Round,Team1_Deaths_Per_Round,Team1_Headshots,Team2,Team2_Position,Team2_Win_Percentage,Team2_Rating,Team2_Kills_Per_Round,Team2_Deaths_Per_Round,Team2_Headshots,Score
28/03/2024,spirit,4,79.2,1.19,0.73,0.61,46.98,faze,1,72.4,1.09,0.68,0.64,51.78,0
28/03/2024,spirit,4,79.2,1.19,0.73,0.61,46.98,natus_vincere,2,77.3,1.07,0.66,0.64,48.36,1
28/03/2024,spirit,4,79.2,1.19,0.73,0.61,46.98,imperial,18,72.0,1.13,0.7,0.62,46.54,1
28/03/2024,spirit,4,79.2,1.19,0.73,0.61,46.98,cloud9,7,63.0,1.11,0.68,0.64,45.42,1
28/03/2024,spirit,4,79.2,1.19,0.73,0.61,46.98,metizport,30,62.0,1.08,0.67,0.66,50.64,1
28/03/2024,spirit,4,79.2,1.19,0.73,0.61,46.98,big,38,40.9,1.06,0.67,0.65,49.1,1
28/03/2024,spirit,4,79.2,1.19,0.73,0.61,46.98,heroic,10,57.1,1.05,0.66,0.66,50.74,1
28/03/2024,spirit,4,79.2,1.19,0.73,0.61,46.98,mouz,5,76.2,1.08,0.68,0.65,48.74,0
28/03/2024,spirit,4,79.2,1.19,0.73,0.61,46.98,astralis,26,57.1,1.06,0.65,0.65,52.94,1
28/03/2024,spirit,4,79.2,1.19,0.73,0.61,46.98,ence,13,45.5,1.04,0.65,0.66,49.2,1
28/03/2024,spirit,4,79.2,1.19,0.73,0.61,46.98,faze,1,72.4,1.09,0.68,0.64,51.78,1
28/03/2024,spirit,4,79.2,1.19,0.73,0.61,46.98,falcons,11,42.9,1.05,0.67,0.66,49.18,1
28/03/2024,spirit,4,79.2,1.19,0.73,0.61,46.98,faze,1,72.4,1.09,0.68,0.64,51.78,1
28/03/2024,spirit,4,79.2,1.19,0.73,0.61,46.98,complexity,12,43.8,1.03,0.64,0.67,51.06,1
28/03/2024,spirit,4,79.2,1.19,0.73,0.61,46.98,natus_vincere,2,77.3,1.07,0.66,0.64,48.36,1
28/03/2024,spirit,4,79.2,1.19,0.73,0.61,46.98,themongolz,19,67.9,1.12,0.7,0.65,51.78,1
28/03/2024,spirit,4,79.2,1.19,0.73,0.61,46.98,apeks,20,44.1,1.03,0.65,0.66,51.12,1
28/03/2024,spirit,4,79.2,1.19,0.73,0.61,46.98,faze,1,72.4,1.09,0.68,0.64,51.78,0
28/03/2024,spirit,4,79.2,1.19,0.73,0.61,46.98,liquid,22,69.0,1.15,0.7,0.61,50.02,0
28/03/2024,spirit,4,79.2,1.19,0.73,0.61,46.98,mouz,5,76.2,1.08,0.68,0.65,48.74,1
28/03/2024,spirit,4,79.2,1.19,0.73,0.61,46.98,koi,27,58.3,1.09,0.67,0.64,46.24,0
28/03/2024,spirit,4,79.2,1.19,0.73,0.61,46.98,virtuspro,9,68.0,1.11,0.65,0.61,48.04,1
28/03/2024,spirit,4,79.2,1.19,0.73,0.61,46.98,mibr,34,81.0,1.14,0.69,0.61,51.92,1
28/03/2024,spirit,4,79.2,1.19,0.73,0.61,46.98,furia,14,45.5,1.08,0.67,0.64,47.26,1
28/03/2024,spirit,4,79.2,1.19,0.73,0.61,46.98,virtuspro,9,68.0,1.11,0.65,0.61,48.04,0
28/03/2024,spirit,4,79.2,1.19,0.73,0.61,46.98,sinners,49,59.3,1.08,0.68,0.66,50.28,0
28/03/2024,spirit,4,79.2,1.19,0.73,0.61,46.98,furia,14,45.5,1.08,0.67,0.64,47.26,1
28/03/2024,spirit,4,79.2,1.19,0.73,0.61,46.98,mibr,34,81.0,1.14,0.69,0.61,51.92,1
28/03/2024,spirit,4,79.2,1.19,0.73,0.61,46.98,apeks,20,44.1,1.03,0.65,0.66,51.12,1
28/03/2024,spirit,4,79.2,1.19,0.73,0.61,46.98,monte,23,51.9,1.06,0.67,0.66,52.76,0
28/03/2024,spirit,4,79.2,1.19,0.73,0.61,46.98,saw,16,73.3,1.09,0.67,0.63,49.92,1
